symbol,period_close_epoch,received_at_ms,processed_at_ms,delivery_latency_ms,processing_latency_ms
RDBULL,1784956080,1784956140396,1784956140401,396,5
stpRNG3,1784956080,1784956140405,1784956140406,405,1
stpRNG5,1784956080,1784956140407,1784956140410,407,3
stpRNG2,1784956080,1784956140411,1784956140412,411,1
stpRNG,1784956080,1784956140413,1784956140414,413,1
stpRNG4,1784956080,1784956140418,1784956140419,418,1
stpRNG4,1784956140,1784956200389,1784956200390,389,1
stpRNG,1784956140,1784956200392,1784956200393,392,1
stpRNG3,1784956140,1784956200395,1784956200396,395,1
stpRNG2,1784956140,1784956200397,1784956200398,397,1
stpRNG5,1784956140,1784956200401,1784956200402,401,1
RDBULL,1784956140,1784956200403,1784956200404,403,1
stpRNG4,1784956200,1784956260395,1784956260396,395,1
stpRNG,1784956200,1784956260398,1784956260400,398,2
stpRNG3,1784956200,1784956260402,1784956260404,402,2
stpRNG5,1784956200,1784956260407,1784956260408,407,1
stpRNG2,1784956200,1784956260410,1784956260412,410,2
RDBULL,1784956200,1784956260413,1784956260414,413,1
RDBULL,1784956260,1784956320352,1784956320353,352,1
stpRNG3,1784956260,1784956320354,1784956320356,354,2
stpRNG2,1784956260,1784956320358,1784956320359,358,1
stpRNG5,1784956260,1784956320360,1784956320361,360,1
stpRNG,1784956260,1784956320362,1784956320364,362,2
stpRNG4,1784956260,1784956320368,1784956320371,368,3
stpRNG4,1784956320,1784956380389,1784956380390,389,1
stpRNG,1784956320,1784956380391,1784956380393,391,2
stpRNG3,1784956320,1784956380395,1784956380396,395,1
stpRNG2,1784956320,1784956380397,1784956380397,397,0
stpRNG5,1784956320,1784956380398,1784956380399,398,1
RDBULL,1784956320,1784956380400,1784956380400,400,0
stpRNG2,1784956380,1784956440378,1784956440379,378,1
stpRNG5,1784956380,1784956440381,1784956440383,381,2
stpRNG3,1784956380,1784956440385,1784956440389,385,4
RDBULL,1784956380,1784956440390,1784956440390,390,0
stpRNG4,1784956380,1784956440391,1784956440391,391,0
stpRNG,1784956380,1784956440392,1784956440392,392,0
stpRNG,1784956440,1784956500384,1784956500385,384,1
stpRNG4,1784956440,1784956500387,1784956500389,387,2
RDBULL,1784956440,1784956500391,1784956500391,391,0
stpRNG3,1784956440,1784956500392,1784956500392,392,0
stpRNG5,1784956440,1784956500393,1784956500393,393,0
stpRNG2,1784956440,1784956500394,1784956500394,394,0
stpRNG4,1784956500,1784956560384,1784956560385,384,1
stpRNG,1784956500,1784956560387,1784956560391,387,4
stpRNG5,1784956500,1784956560393,1784956560393,393,0
stpRNG2,1784956500,1784956560394,1784956560395,394,1
stpRNG3,1784956500,1784956560396,1784956560396,396,0
RDBULL,1784956500,1784956560397,1784956560397,397,0
RDBULL,1784956560,1784956620478,1784956620479,478,1
stpRNG2,1784956560,1784956620481,1784956620482,481,1
stpRNG5,1784956560,1784956620483,1784956620484,483,1
stpRNG3,1784956560,1784956620486,1784956620486,486,0
stpRNG,1784956560,1784956620487,1784956620487,487,0
stpRNG4,1784956560,1784956620488,1784956620488,488,0
stpRNG4,1784956620,1784956680391,1784956680392,391,1
stpRNG,1784956620,1784956680395,1784956680396,395,1
stpRNG2,1784956620,1784956680397,1784956680398,397,1
stpRNG5,1784956620,1784956680398,1784956680399,398,1
stpRNG3,1784956620,1784956680400,1784956680401,400,1
RDBULL,1784956620,1784956680402,1784956680403,402,1
stpRNG4,1784956680,1784956740326,1784956740326,326,0
