symbol,direction,signal_detected_ms,proposal_sent_ms,proposal_received_ms,buy_sent_ms,buy_confirmed_ms,outcome,reject_reason,proposal_to_buy_ms,total_signal_to_confirm_ms
stpRNG3,SELL,1784956260403,1784956260404,1784956260739,1784956260739,1784956260739,REJECTED,"Input validation failed: Properties not allowed: symbol.",0,336
stpRNG4,SELL,1784956320369,1784956320370,1784956320710,1784956320710,1784956320710,REJECTED,"Input validation failed: Properties not allowed: symbol.",0,341
stpRNG,SELL,1784956380392,1784956380393,1784956380728,1784956380728,1784956380728,REJECTED,"Input validation failed: Properties not allowed: symbol.",0,336
stpRNG4,SELL,1784956680392,1784956680392,1784956680725,1784956680725,1784956680725,REJECTED,"Input validation failed: Properties not allowed: symbol.",0,333
stpRNG,BUY,1784956740329,1784956740330,1784956740691,1784956740691,1784956740691,REJECTED,"Input validation failed: Properties not allowed: symbol.",0,362
stpRNG2,SELL,1784957580342,1784957580343,1784957580728,1784957580728,1784957580728,REJECTED,"Input validation failed: Properties not allowed: symbol.",0,386
stpRNG3,BUY,1784957820338,1784957820339,1784957820739,1784957820739,1784957820739,REJECTED,"Input validation failed: Properties not allowed: symbol.",0,401
stpRNG3,BUY,1784957880343,1784957880344,1784957880690,1784957880690,1784957880690,REJECTED,"Input validation failed: Properties not allowed: symbol.",0,347
stpRNG5,SELL,1784958120343,1784958120343,1784958120669,1784958120669,1784958120669,REJECTED,"Input validation failed: Properties not allowed: symbol.",0,326
RDBULL,SELL,1784958840346,1784958840347,1784958840760,1784958840760,1784958840760,REJECTED,"Input validation failed: Properties not allowed: symbol.",0,414
stpRNG3,SELL,1784958900333,1784958900333,1784958900753,1784958900753,1784958901173,CONFIRMED,"",0,840
RDBULL,SELL,1784959260332,1784959260333,1784959260658,1784959260658,1784959260658,REJECTED,"Input validation failed: Properties not allowed: symbol.",0,326
RDBULL,SELL,1784959260307,1784959260307,1784959260701,1784959260701,1784959261108,CONFIRMED,"",0,801
stpRNG5,SELL,1784959680371,1784959680372,1784959680796,1784959680796,1784959681267,CONFIRMED,"",0,896
RDBULL,SELL,1784959920319,1784959920319,1784959920676,1784959920676,1784959920676,REJECTED,"Input validation failed: Properties not allowed: symbol.",0,357
RDBULL,SELL,1784959920273,1784959920274,1784959920668,1784959920668,1784959921096,CONFIRMED,"",0,823
stpRNG3,BUY,1784960100294,1784960100294,1784960100622,1784960100622,1784960100622,REJECTED,"Input validation failed: Properties not allowed: symbol.",0,328
stpRNG3,BUY,1784960100361,1784960100361,1784960100862,1784960100862,1784960101440,CONFIRMED,"",0,1079
stpRNG4,BUY,1784960160361,1784960160361,1784960160682,1784960160682,1784960160682,REJECTED,"Input validation failed: Properties not allowed: symbol.",0,321
stpRNG4,BUY,1784960160329,1784960160329,1784960160684,1784960160684,1784960161125,CONFIRMED,"",0,796
stpRNG5,BUY,1784960280323,1784960280324,1784960280706,1784960280706,1784960281124,CONFIRMED,"",0,801
stpRNG,BUY,1784960400321,1784960400321,1784960400646,1784960400646,1784960400646,REJECTED,"Input validation failed: Properties not allowed: symbol.",0,325
stpRNG,BUY,1784960400344,1784960400344,1784960400752,1784960400752,1784960401171,CONFIRMED,"",0,827
stpRNG2,BUY,1784961240315,1784961240316,1784961240644,1784961240644,1784961240644,REJECTED,"Input validation failed: Properties not allowed: symbol.",0,329
stpRNG2,BUY,1784961240259,1784961240260,1784961240644,1784961240644,1784961241088,CONFIRMED,"",0,829
stpRNG3,SELL,1784961840306,1784961840307,1784961840687,1784961840687,1784961841343,CONFIRMED,"",0,1037
stpRNG5,SELL,1784961960309,1784961960310,1784961960730,1784961960730,1784961961223,CONFIRMED,"",0,914
stpRNG5,BUY,1784962140308,1784962140308,1784962140707,1784962140707,1784962141136,CONFIRMED,"",0,828
stpRNG2,BUY,1784962200265,1784962200265,1784962200740,1784962200740,1784962201287,CONFIRMED,"",0,1022
stpRNG5,SELL,1784962380325,1784962380326,1784962380733,1784962380733,1784962381151,CONFIRMED,"",0,826
stpRNG3,BUY,1784962740240,1784962740240,1784962740611,1784962740611,1784962741071,CONFIRMED,"",0,831
stpRNG5,SELL,1784962860221,1784962860221,1784962860645,1784962860645,1784962861162,CONFIRMED,"",0,941
stpRNG2,SELL,1784962920307,1784962920308,1784962920704,1784962920704,1784962921136,CONFIRMED,"",0,829
stpRNG2,SELL,1784963280394,1784963280394,1784963280781,1784963280781,1784963281249,CONFIRMED,"",0,855
stpRNG3,SELL,1784963580342,1784963580342,1784963580857,1784963580857,1784963581394,CONFIRMED,"",0,1052
stpRNG,BUY,1784963640336,1784963640337,1784963640745,1784963640745,1784963641263,CONFIRMED,"",0,927
RDBULL,SELL,1784963820338,1784963820338,1784963820723,1784963820723,1784963821144,CONFIRMED,"",0,806
stpRNG5,SELL,1784964000281,1784964000283,1784964000651,1784964000651,1784964001060,CONFIRMED,"",0,779
